ref,qty,value,footprint,mfg_part,lcsc_check,notes
U1,1,ESP32-S3-WROOM-1-N16R8,SMD module 18x25.5 mm,Espressif ESP32-S3-WROOM-1-N16R8,C2913203,16 MB flash 8 MB PSRAM
U2,1,12V to 3.3V buck module,SIP-3 (drop-in for L78xx pinout),Mornsun K7803-1000R3 (RECOM R-78E3.3-1.0 / CUI V7803-1000 alt),C113973 (CHECK 1A version),"**Switching buck module — NOT a linear LDO**. 12V→3.3V at ~200 mA in SOT-89 LDO would dissipate 1.74 W (rated ~0.5 W) → thermal shutdown. **1 A version (not 500 mA)** — peak load is ESP32-S3 ~400 mA WiFi TX + 4× SN65HVD75 ~60 mA + SC16IS740 ~10 mA = ~470 mA, leaving zero headroom on a 500 mA part. Upgrade to 1 A flagged by Gemini external review 2026-04-26. The 3-pin SIP buck is a sealed drop-in; 1 A and 500 mA share the same SIP-3 pinout (VIN/GND/VOUT)."
U3,1,UART expander,TSSOP-16,NXP SC16IS740IPW,C9099,Single-channel UART-to-SPI bridge for Bus 3
U4,1,RS-485 transceiver Bus 0,SOIC-8,TI SN65HVD75DR,C57928,3.3 V half-duplex
U5,1,RS-485 transceiver Bus 1,SOIC-8,TI SN65HVD75DR,C57928,
U6,1,RS-485 transceiver Bus 2,SOIC-8,TI SN65HVD75DR,C57928,
U7,1,RS-485 transceiver Bus 3,SOIC-8,TI SN65HVD75DR,C57928,Driven by SC16IS740
U8,1,USB-C ESD,SOT-23-6,STMicro USBLC6-2SC6,C7519,
Y1,1,Crystal 14.7456 MHz,SMD 3.2x2.5,generic,C12674,For SC16IS740
Q1,1,P-FET reverse-block,DPAK / TO-252,Alpha & Omega AOD409,C160005,"Sized for 15 A continuous; NTD2955 alt. AOD409 VGS rated ±20 V (no clamp strictly required) but a 12 V Zener clamp (Z1) parallels the unit Q1 fix and absorbs brick over-voltage."
