Designator,Value,Package,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Notes,StockStatus
U1,USBLC6-2SC6,SOT-23-6,1,USBLC6-2SC6,STMicroelectronics,LCSC,C7593,USB D+/D- ESD array,UNCHECKED
U2,LM66100DCKR,SOT-23-5,1,LM66100DCKR,Texas Instruments,LCSC,C2869734,Ideal-diode OR-ing (USB path only) 1.5V-5.5V 1.5A,UNCHECKED
U4,AP63300WU-7,TSOT-26,1,AP63300WU-7,Diodes Incorporated,LCSC,C2158012,3A synchronous buck 3.8V-32V internally compensated + internal soft-start 500kHz,UNCHECKED
U5,ESP32-S3-WROOM-1-N16R8,ESP32-S3-WROOM-1,1,ESP32-S3-WROOM-1-N16R8,Espressif Systems,LCSC,C5092449,Primary MCU 16MB quad flash + 8MB octal PSRAM PCB antenna variant,UNCHECKED
U_H2,ESP32-H2-MINI-1-N4,ESP32-H2-MINI-1,1,ESP32-H2-MINI-1-N4,Espressif,LCSC,C18203134,Radio coprocessor Zigbee/Thread/BLE + USB Serial-JTAG on IO26/IO27,UNCHECKED
U6,TCA9548APWR,TSSOP-24,1,TCA9548APWR,Texas Instruments,LCSC,C130026,8-channel I2C mux PWR suffix only,UNCHECKED
U7,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 1 I2C level shifter DCT package only,UNCHECKED
U8,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 2,UNCHECKED
U9,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 3,UNCHECKED
U10,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 4,UNCHECKED
U11,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 5,UNCHECKED
U12,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 6,UNCHECKED
U13,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 7,UNCHECKED
U14,PCA9306DCTR,VSSOP-8,1,PCA9306DCTR,Texas Instruments,LCSC,C123752,Row 8,UNCHECKED
U15,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 1 SDA/SCL ESD,UNCHECKED
U16,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 2,UNCHECKED
U17,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 3,UNCHECKED
U18,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 4,UNCHECKED
U19,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 5,UNCHECKED
U20,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 6,UNCHECKED
U21,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 7,UNCHECKED
U22,PESD3V3L5UW,SOT-363,1,PESD3V3L5UW,Nexperia,LCSC,C14565,Row 8,UNCHECKED
